id,filename,org,doc,year,url,topic,pages
181,who-Appropriate complementary feeding.pdf,WHO (世界卫生组织),Appropriate complementary feeding,,https://www.who.int/tools/elena/interventions/complementary-feeding,WHO营养干预,
182,who-Assessment for nutrition-related disorders in women during pregnancy.pdf,WHO (世界卫生组织),Assessment for nutrition-related disorders in women during pregnancy,,https://www.who.int/tools/elena/interventions/assessment-methods-pregnancy,WHO营养干预,
183,who-Balanced energy and protein supplementation during pregnancy.pdf,WHO (世界卫生组织),Balanced energy and protein supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/energy-protein-pregnancy,WHO营养干预,
184,who-Breastfeeding education for increased breastfeeding duration.pdf,WHO (世界卫生组织),Breastfeeding education for increased breastfeeding duration,,https://www.who.int/tools/elena/interventions/breastfeeding-education,WHO营养干预,
185,who-Calcium supplementation before pregnancy for the prevention of pre-eclampsia and its complications.pdf,WHO (世界卫生组织),Calcium supplementation before pregnancy for the prevention of pre-eclampsia and its complications,,https://www.who.int/tools/elena/interventions/calcium-prepregnancy,WHO营养干预,
186,who-Calcium supplementation during pregnancy to reduce the risk of pre-eclampsia.pdf,WHO (世界卫生组织),Calcium supplementation during pregnancy to reduce the risk of pre-eclampsia,,https://www.who.int/tools/elena/interventions/calcium-pregnancy,WHO营养干预,
187,who-Continued breastfeeding for healthy growth and development of children.pdf,WHO (世界卫生组织),Continued breastfeeding for healthy growth and development of children,,https://www.who.int/tools/elena/interventions/continued-breastfeeding,WHO营养干预,
188,who-Creating an environment in care facilities that supports breastfeeding.pdf,WHO (世界卫生组织),Creating an environment in care facilities that supports breastfeeding,,https://www.who.int/tools/elena/interventions/breastfeeding-care-facilities,WHO营养干预,
189,who-Daily iron and folic acid supplementation during pregnancy.pdf,WHO (世界卫生组织),Daily iron and folic acid supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/daily-iron-pregnancy,WHO营养干预,
190,who-Daily iron supplementation in adult women and adolescent girls.pdf,WHO (世界卫生组织),Daily iron supplementation in adult women and adolescent girls,,https://www.who.int/tools/elena/interventions/daily-iron-women,WHO营养干预,
191,who-Daily iron supplementation in children 24–59 months of age.pdf,WHO (世界卫生组织),Daily iron supplementation in children 24–59 months of age,,https://www.who.int/tools/elena/interventions/iron-children-24to59,WHO营养干预,
192,who-Daily iron supplementation in children 6-23 months of age.pdf,WHO (世界卫生组织),Daily iron supplementation in children 6-23 months of age,,https://www.who.int/tools/elena/interventions/iron-children-6to23,WHO营养干预,
193,who-Daily iron supplementation in children and adolescents 5–12 years of age.pdf,WHO (世界卫生组织),Daily iron supplementation in children and adolescents 5–12 years of age,,https://www.who.int/tools/elena/interventions/iron-children-5to12,WHO营养干预,
194,who-Early initiation of breastfeeding to promote exclusive breastfeeding.pdf,WHO (世界卫生组织),Early initiation of breastfeeding to promote exclusive breastfeeding,,https://www.who.int/tools/elena/interventions/early-breastfeeding,WHO营养干预,
195,"who-Exclusive breastfeeding for optimal growth, development and health of infants.pdf",WHO (世界卫生组织),"Exclusive breastfeeding for optimal growth, development and health of infants",,https://www.who.int/tools/elena/interventions/exclusive-breastfeeding,WHO营养干预,
196,who-Exclusive breastfeeding to reduce the risk of childhood overweight and obesity.pdf,WHO (世界卫生组织),Exclusive breastfeeding to reduce the risk of childhood overweight and obesity,,https://www.who.int/tools/elena/interventions/breastfeeding-childhood-obesity,WHO营养干预,
197,who-Feeding of infants unable to breastfeed directly in care facilities.pdf,WHO (世界卫生组织),Feeding of infants unable to breastfeed directly in care facilities,,https://www.who.int/tools/elena/interventions/breastfeeding-inability,WHO营养干预,
198,who-High-protein supplementation during pregnancy.pdf,WHO (世界卫生组织),High-protein supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/high-protein-pregnancy,WHO营养干预,
199,who-Increasing fruit and vegetable consumption to reduce the risk of noncommunicable diseases.pdf,WHO (世界卫生组织),Increasing fruit and vegetable consumption to reduce the risk of noncommunicable diseases,,https://www.who.int/tools/elena/interventions/fruit-vegetables-ncds,WHO营养干预,
200,who-Increasing potassium intake to control blood pressure in children.pdf,WHO (世界卫生组织),Increasing potassium intake to control blood pressure in children,,https://www.who.int/tools/elena/interventions/potassium-bp-children,WHO营养干预,
201,who-Increasing potassium intake to reduce blood pressure and risk of cardiovascular diseases in adults.pdf,WHO (世界卫生组织),Increasing potassium intake to reduce blood pressure and risk of cardiovascular diseases in adults,,https://www.who.int/tools/elena/interventions/potassium-cvd-adults,WHO营养干预,
202,who-Intermittent iron and folic acid supplementation during pregnancy.pdf,WHO (世界卫生组织),Intermittent iron and folic acid supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/intermittent-iron-pregnancy,WHO营养干预,
203,who-Intermittent iron and folic acid supplementation in adult women and adolescent girls.pdf,WHO (世界卫生组织),Intermittent iron and folic acid supplementation in adult women and adolescent girls,,https://www.who.int/tools/elena/interventions/iron-women,WHO营养干预,
204,who-Intermittent iron supplementation in preschool and school-age children.pdf,WHO (世界卫生组织),Intermittent iron supplementation in preschool and school-age children,,https://www.who.int/tools/elena/interventions/iron-intermittent-children,WHO营养干预,
205,who-Iodine supplementation in pregnant and lactating women.pdf,WHO (世界卫生组织),Iodine supplementation in pregnant and lactating women,,https://www.who.int/tools/elena/interventions/iodine-pregnancy,WHO营养干预,
206,who-Iron supplementation with or without folic acid to reduce the risk of postpartum anaemia.pdf,WHO (世界卫生组织),Iron supplementation with or without folic acid to reduce the risk of postpartum anaemia,,https://www.who.int/tools/elena/interventions/iron-postpartum,WHO营养干预,
207,who-Limiting portion sizes to reduce the risk of childhood overweight and obesity.pdf,WHO (世界卫生组织),Limiting portion sizes to reduce the risk of childhood overweight and obesity,,https://www.who.int/tools/elena/interventions/portion-childhood-obesity,WHO营养干预,
208,who-Marine oil supplementation during pregnancy.pdf,WHO (世界卫生组织),Marine oil supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/fish-oil-pregnancy,WHO营养干预,
209,who-Multiple micronutrient powders for point-of-use fortification of foods consumed by children 2–12 years of age.pdf,WHO (世界卫生组织),Multiple micronutrient powders for point-of-use fortification of foods consumed by children 2–12 years of age,,https://www.who.int/tools/elena/interventions/micronutrientpowder-children,WHO营养干预,
210,who-Multiple micronutrient powders for point-of-use fortification of foods consumed by children 6–23 months of age.pdf,WHO (世界卫生组织),Multiple micronutrient powders for point-of-use fortification of foods consumed by children 6–23 months of age,,https://www.who.int/tools/elena/interventions/micronutrientpowder-infants,WHO营养干预,
211,who-Multiple micronutrient powders for point-of-use fortification of foods consumed by pregnant women.pdf,WHO (世界卫生组织),Multiple micronutrient powders for point-of-use fortification of foods consumed by pregnant women,,https://www.who.int/tools/elena/interventions/micronutrientpowder-pregnancy,WHO营养干预,
212,who-Multiple micronutrient supplementation during pregnancy.pdf,WHO (世界卫生组织),Multiple micronutrient supplementation during pregnancy,,https://www.who.int/tools/elena/interventions/micronutrients-pregnancy,WHO营养干预,
213,who-Nutrition counselling during pregnancy.pdf,WHO (世界卫生组织),Nutrition counselling during pregnancy,,https://www.who.int/tools/elena/interventions/nutrition-counselling-pregnancy,WHO营养干预,
214,who-Periconceptional folic acid supplementation to prevent neural tube defects.pdf,WHO (世界卫生组织),Periconceptional folic acid supplementation to prevent neural tube defects,,https://www.who.int/tools/elena/interventions/folate-periconceptional,WHO营养干预,
215,who-Reducing consumption of sugar-sweetened beverages to reduce the risk of childhood overweight and obesity.pdf,WHO (世界卫生组织),Reducing consumption of sugar-sweetened beverages to reduce the risk of childhood overweight and obesity,,https://www.who.int/tools/elena/interventions/ssbs-childhood-obesity,WHO营养干预,
216,who-Reducing consumption of sugar-sweetened beverages to reduce the risk of unhealthy weight gain in adults.pdf,WHO (世界卫生组织),Reducing consumption of sugar-sweetened beverages to reduce the risk of unhealthy weight gain in adults,,https://www.who.int/tools/elena/interventions/ssbs-adult-weight,WHO营养干预,
217,who-Reducing free sugars intake in adults to reduce the risk of noncommunicable diseases.pdf,WHO (世界卫生组织),Reducing free sugars intake in adults to reduce the risk of noncommunicable diseases,,https://www.who.int/tools/elena/interventions/free-sugars-adults-ncds,WHO营养干预,
218,who-Reducing free sugars intake in children to reduce the risk of noncommunicable diseases.pdf,WHO (世界卫生组织),Reducing free sugars intake in children to reduce the risk of noncommunicable diseases,,https://www.who.int/tools/elena/interventions/free-sugars-children-ncds,WHO营养干预,
219,who-Reducing sodium intake to control blood pressure in children.pdf,WHO (世界卫生组织),Reducing sodium intake to control blood pressure in children,,https://www.who.int/tools/elena/interventions/sodium-bp-children,WHO营养干预,
220,who-Reducing sodium intake to reduce blood pressure and risk of cardiovascular diseases in adults.pdf,WHO (世界卫生组织),Reducing sodium intake to reduce blood pressure and risk of cardiovascular diseases in adults,,https://www.who.int/tools/elena/interventions/sodium-cvd-adults,WHO营养干预,
221,who-Restricting caffeine intake during pregnancy.pdf,WHO (世界卫生组织),Restricting caffeine intake during pregnancy,,https://www.who.int/tools/elena/interventions/caffeine-pregnancy,WHO营养干预,
222,who-Supplemental nutrition with dietary advice for older people affected by undernutrition.pdf,WHO (世界卫生组织),Supplemental nutrition with dietary advice for older people affected by undernutrition,,https://www.who.int/tools/elena/interventions/nutrition-older-people,WHO营养干预,
223,who-Supplementary feeding in community settings for promoting child growth.pdf,WHO (世界卫生组织),Supplementary feeding in community settings for promoting child growth,,https://www.who.int/tools/elena/interventions/child-growth,WHO营养干预,
224,who-Supplementary foods for the management of moderate acute malnutrition in children aged 6–59 months.pdf,WHO (世界卫生组织),Supplementary foods for the management of moderate acute malnutrition in children aged 6–59 months,,https://www.who.int/tools/elena/interventions/food-children-mam,WHO营养干预,
225,who-Support for mothers to initiate and establish breastfeeding after childbirth.pdf,WHO (世界卫生组织),Support for mothers to initiate and establish breastfeeding after childbirth,,https://www.who.int/tools/elena/interventions/breastfeeding-support,WHO营养干预,
226,who-Vitamin A fortification of staple foods.pdf,WHO (世界卫生组织),Vitamin A fortification of staple foods,,https://www.who.int/tools/elena/interventions/vitamina-fortification,WHO营养干预,
